,Date,Year,Close
0,2006-07-02 07:46:51.155378432-04:00,2006,8357.631600550922
1,2007-07-02 18:53:18.406374656-04:00,2007,9653.041054531872
2,2008-07-02 05:10:54.545454592-04:00,2008,8030.863233000865
3,2009-07-03 06:26:11.428571392-04:00,2009,6100.639198908731
4,2010-07-03 16:49:02.857143040-04:00,2010,7233.5430249410965
5,2011-07-02 13:51:54.285714432-04:00,2011,7863.18317328559
6,2012-07-01 02:38:52.800000-04:00,2012,8008.235865234375
7,2013-07-02 11:23:20-04:00,2013,9432.335007440477
8,2014-07-02 19:51:54.285714432-04:00,2014,10655.293011377727
9,2015-07-03 07:06:11.428571392-04:00,2015,10673.225012400793
10,2016-07-02 17:11:54.285714432-04:00,2016,10391.71156529018
11,2017-07-02 07:42:04.302788864-04:00,2017,11846.11687624502
12,2018-07-01 11:20:04.780876544-04:00,2018,12653.069121949702
13,2019-07-02 09:23:20-04:00,2019,12864.524545820932
14,2020-07-02 13:03:19.209486080-04:00,2020,12624.352894176136
15,2021-07-03 16:49:02.857143040-04:00,2021,16262.097477988591
16,2022-07-02 15:44:13.386454016-04:00,2022,15455.15729659487
