Year,Date,Close
2007,2007-07-02 18:53:18.406374656-05:00,17.535936215009347
2008,2008-07-02 05:10:54.545454592-05:00,32.69260867122605
2009,2009-07-03 06:26:11.428571392-05:00,31.478571460360573
2010,2010-07-03 16:49:02.857142784-05:00,22.5488888574025
2011,2011-07-02 13:51:54.285714176-05:00,24.20257932799203
2012,2012-07-01 02:38:52.800000-05:00,17.798879981994627
2013,2013-07-02 11:23:20-05:00,14.230119050495208
2014,2014-07-02 19:51:54.285714176-05:00,14.174246072769165
2015,2015-07-03 07:06:11.428571392-05:00,16.674127011072066
2016,2016-07-02 17:11:54.285714176-05:00,15.8256349109468
2017,2017-07-02 07:42:04.302788864-05:00,11.0902390499039
2018,2018-07-01 11:20:04.780876544-05:00,16.639840619972503
2019,2019-07-02 09:23:20-05:00,15.387857088966975
2020,2020-07-02 13:03:19.209486080-05:00,29.251304385219168
2021,2021-07-03 16:49:02.857142784-05:00,19.656388876930116
2022,2022-07-02 15:44:13.386454272-05:00,25.623904467578903
